Date,year,month,Total_arrivals,N_influenza,ILI,Positivity_Rate,RH,Temp_avg,Temp_dew,WS_avg,WCI,ICL,Baidu,North_ILI,South_ILI,North_Pos_Rate,South_Pos_Rate,ILI_Pos_Product,Baidu_without_covid,Baidu_covid,Temp_max,Temp_min
2011/1/1,2011,1,,2482.428571,3.653103448,0.334268966,61.79802956,12.9729064,5.556650246,17.53497537,743.1336026,1.519383756,105785.4483,4.203448276,3.286206897,0.249896552,0.390517241,1.224141379,105770.7241,14.72413793,19.65714286,8.971428571
2011/2/1,2011,2,,1282.857143,3.537142857,0.276571429,70.85204082,16.35,10.69846939,16.02755102,608.1117303,1.263024007,100086.3929,3.496428571,3.564285714,0.174142857,0.344857143,1.010494857,99887.64286,198.75,22.54285714,11.11428571
2011/3/1,2011,3,,1109.857143,3.003225806,0.131941935,66.78341014,18.41474654,11.66497696,15.25345622,529.3741741,1.106290525,100407.1935,2.925806452,3.05483871,0.096870968,0.155322581,0.397290839,100367.4516,39.74193548,24,15
2011/4/1,2011,4,,544.4285714,3.196666667,0.093286667,67.31904762,23.52666667,16.62666667,15.79619048,345.8832095,0.718301261,101306.3,3.126666667,3.243333333,0.062266667,0.113966667,0.297004,101306.3,0,29.12857143,17.2
2011/5/1,2011,5,,262.4285714,3.332258065,0.048193548,74.44700461,26.67281106,21.51797235,15.62995392,230.2409557,0.479500901,106766.3226,3.1,3.487096774,0.02283871,0.065096774,0.160510581,106766.3226,0,32.21428571,22.62857143
2011/6/1,2011,6,,94.14285714,3.336666667,0.020326667,73.64285714,29.38095238,24.00761905,17.66619048,133.9477067,0.273989634,117186.7,3.316666667,3.35,0.012866667,0.0253,0.067214,116917.0667,269.6333333,33.62857143,25.91428571
2011/7/1,2011,7,,80.85714286,3.350967742,0.017167742,74.77419355,29.67235023,24.53870968,15.58248848,121.0425987,0.251829926,146908.129,3.364516129,3.341935484,0.01083871,0.021387097,0.05745329,146618.3226,289.8064516,34.45714286,26.68571429
2011/8/1,2011,8,,118.7142857,3.092903226,0.021632258,70.50691244,30.31013825,24.18479263,12.03364055,93.64842258,0.203319878,139624.1613,2.912903226,3.212903226,0.004677419,0.032935484,0.067024774,139596.8387,27.32258065,34.58571429,26.95714286
2011/9/1,2011,9,,119.4285714,3.034666667,0.0225,68.45714286,29.16809524,22.58238095,18.68190476,143.3264599,0.29016012,123776.1667,2.956666667,3.086666667,0.0123,0.0293,0.068532267,123762.1667,14,34.27142857,24.02857143
2011/10/1,2011,10,,121.5714286,2.988387097,0.024141935,69.94009217,25.75115207,19.65299539,16.85023041,265.7393273,0.549476723,125880.871,3.019354839,2.967741935,0.003935484,0.037612903,0.072688774,125880.871,0,31.35714286,22.5
2011/11/1,2011,11,,238.1428571,3.048,0.04066,67.74761905,23.48190476,16.91666667,15.7147619,347.7814997,0.721696637,144037.4333,3.3,2.88,0.0139,0.0585,0.12461,144037.4333,0,30.28571429,16.38571429
2011/12/1,2011,12,,875.8571429,3.272903226,0.111916129,54.90322581,17.659447,7.958525346,17.26820276,566.3003059,1.163659389,156785.5161,3.416129032,3.177419355,0.049516129,0.153516129,0.369389806,156572.9677,212.5483871,23.61428571,14
2012/1/1,2012,1,,2182.857143,3.846451613,0.303606452,75.8202765,14.76589862,10.37834101,16.31612903,667.4977723,1.383262964,151192.4839,4.177419355,3.625806452,0.181032258,0.385322581,1.173041935,150913.0645,279.4193548,20.8,9.4
2012/2/1,2012,2,,3206.142857,3.584137931,0.398917241,76.26108374,16.82610837,12.44630542,18.49162562,604.1395108,1.226938005,161045.7586,3.668965517,3.527586207,0.346344828,0.433965517,1.434222759,160893.7931,151.9655172,21.64285714,12.41428571
2012/3/1,2012,3,,3478,3.147096774,0.36376129,75.2764977,19.6797235,14.77741935,19.84009217,500.7131518,1.010365308,157650.1613,3.135483871,3.15483871,0.330354839,0.386032258,1.148501677,157597.7097,52.4516129,26.54285714,14.45714286
2012/4/1,2012,4,,962.2857143,2.888,0.17252,77.77142857,24.91809524,20.63761905,19.79380952,302.8441624,0.612758818,148339.7667,2.66,3.04,0.1841,0.1648,0.502307067,148335.7,4.066666667,31.75714286,19.71428571
2012/5/1,2012,5,,446.1428571,3.027741935,0.077767742,75.62211982,28.49354839,23.66129032,19.72626728,168.6767022,0.341374956,136315.8065,2.629032258,3.293548387,0.043064516,0.100903226,0.235994065,136051.7097,264.0967742,32.4,26.15714286
2012/6/1,2012,6,,474.1428571,3.03,0.07596,75.26190476,29.21857143,24.27619048,19.51857143,142.3467908,0.286351574,153323.3333,2.79,3.19,0.0133,0.117733333,0.229827867,153182.6667,140.6666667,33.64285714,26.17142857
2012/7/1,2012,7,,1391.428571,3.18,0.187432258,74.79262673,29.55207373,24.45023041,17.17788018,127.9419909,0.260987251,194067.0968,2.84516129,3.403225806,0.015580645,0.302,0.597270194,194035.7419,31.35483871,34.2,25.31428571
2012/8/1,2012,8,,1192.857143,2.856129032,0.183374194,71.73271889,30.11612903,24.24470046,14.48294931,103.8940219,0.218117566,201380.2258,2.8,2.893548387,0.092193548,0.24416129,0.526543613,201371.0323,9.193548387,34.08571429,26.97142857
2012/9/1,2012,9,,491.4285714,2.665333333,0.094353333,65.8952381,28.86571429,21.58380952,15.15380952,149.9310414,0.313046493,169535.6667,2.823333333,2.56,0.090233333,0.0971,0.2524008,169451.6667,84,34.05714286,25.74285714
2012/10/1,2012,10,,116,2.643870968,0.019335484,64.12903226,26.40506912,18.86958525,16.36175115,241.8228311,0.499834952,187214.0968,2.990322581,2.412903226,0.010354839,0.025322581,0.051406323,186981.2903,232.8064516,30.91428571,20.81428571
2012/11/1,2012,11,,254.8571429,2.548,0.031333333,74.42380952,22.75285714,17.70333333,18.76619048,383.576735,0.777095829,246617.6667,2.91,2.306666667,0.042633333,0.0238,0.0800744,246617.6667,0,27.97142857,16.52857143
2012/12/1,2012,12,,855.7142857,2.855483871,0.09096129,71.39631336,18.26820276,12.80368664,19.35207373,550.3455413,1.117487405,282774.3226,3.693548387,2.296774194,0.165129032,0.041516129,0.265241677,282774.3226,0,23.87142857,10.98571429
2013/1/1,2013,1,3503329,1816.714286,3.499354839,0.171393548,64.48387097,16.95437788,9.995391705,15.57557604,583.8550128,1.217138132,283639.4194,4.819354839,2.619354839,0.266,0.108322581,0.600644516,283613.6774,25.74193548,23.54285714,10.98571429
2013/2/1,2013,2,3104368,1025.142857,3.383571429,0.131714286,72.74489796,19.20816327,14.05663265,16.98673469,508.4503954,1.046106251,277411.0714,4.435714286,2.682142857,0.149714286,0.119714286,0.447074714,277309.0357,102.0357143,23.91428571,16.48571429
2013/3/1,2013,3,2823293,983.5714286,2.983870968,0.10436129,72.359447,21.57834101,15.90599078,17.51981567,420.8081843,0.866207007,271369.7097,3.55483871,2.603225806,0.057193548,0.135806452,0.311112903,271214.3871,155.3225806,27.45714286,16.28571429
2013/4/1,2013,4,3086510,1105.714286,3.591333333,0.07942,77.83333333,22.39761905,18.13285714,18.98428571,392.9092547,0.80404607,268895.8667,4.033333333,3.296666667,0.041,0.105033333,0.2838516,268760.5333,135.3333333,28.31428571,17.9
2013/5/1,2013,5,3036585,660.8571429,3.639354839,0.040580645,79.74654378,26.93317972,23.00737327,17.29769585,224.8655773,0.459774468,264852.5484,4.129032258,3.312903226,0.005064516,0.064258065,0.150913806,264839.6774,12.87096774,33.21428571,20.37142857
2013/6/1,2013,6,3126489,414.4285714,3.530666667,0.022986667,76.16190476,29.08809524,24.34952381,17.78809524,144.9333288,0.296220706,263440.7333,3.576666667,3.5,0.005566667,0.0346,0.081094667,263440.7333,0,33.31428571,24.32857143
2013/7/1,2013,7,3756231,387.8571429,3.372258065,0.020148387,76.00460829,29.09953917,24.31290323,17.43179724,144.6468695,0.295347918,244347.6129,3.412903226,3.34516129,0.001354839,0.032677419,0.067961032,244347.6129,0,33.05714286,25.84285714
2013/8/1,2013,8,4203135,401.5714286,3.24516129,0.076987097,75.66820276,29.5,24.63179724,17.03686636,127.5795043,0.264920356,243343.9677,3.283870968,3.219354839,0.001290323,0.127451613,0.251521032,243332.7419,11.22580645,33.71428571,26.2
2013/9/1,2013,9,3263545,576.5714286,3.079333333,0.043293333,71.27619048,28.72714286,22.78857143,17.95761905,157.8396449,0.323614424,199419.9333,3.303333333,2.93,0.002433333,0.070533333,0.134439467,199404.7,15.23333333,33.55714286,24.41428571
2013/10/1,2013,10,3381868,616.4285714,3.052903226,0.039103226,59.05990783,26.5156682,17.45437788,16.3,237.8281546,0.491443198,171822,3.596774194,2.690322581,0.003935484,0.062548387,0.119223355,171822,0,31.71428571,21.5
2013/11/1,2013,11,3325320,1319.428571,2.958,0.07266,63.19047619,22.28714286,14.38238095,18.75714286,400.8860306,0.812441659,171635.8,3.58,2.543333333,0.0222,0.1063,0.2148544,171635.8,0,29.15714286,14.41428571
2013/12/1,2013,12,3861322,5052.428571,3.325806452,0.232148387,53.88940092,16.35852535,6.285714286,16.77281106,611.1297217,1.262380863,203958.9677,3.674193548,3.093548387,0.143193548,0.291451613,0.784194452,203892.129,66.83870968,23.38571429,10.65714286
2014/1/1,2014,1,4317357,8629.428571,4.020645161,0.374245161,57.70506912,16.88018433,7.84516129,16.19447005,587.9523131,1.222776492,208310.6774,4.351612903,3.8,0.339,0.397741935,1.501148129,208265,45.67741935,23.32857143,11.9
2014/2/1,2014,2,3434434,4396.428571,3.178571429,0.245092857,73.67857143,15.80867347,10.925,19.23826531,645.2432746,1.304173083,235144.1429,3.435714286,3.007142857,0.211,0.267821429,0.801737429,235135.7143,8.428571429,23.6,8.328571429
2014/3/1,2014,3,3581083,3384.428571,2.945806452,0.166309677,74.73271889,19.72580645,14.86958525,19.47557604,497.3362062,1.006853866,202698.2903,2.941935484,2.948387097,0.139967742,0.183870968,0.487909548,202698.2903,0,26.9,15.41428571
2014/4/1,2014,4,3548304,1122.142857,2.947333333,0.07848,77.69047619,23.99238095,19.6552381,18.6852381,336.4305149,0.683010461,195988.0667,2.673333333,3.13,0.0873,0.0726,0.231940667,195988.0667,0,28.32857143,19.2
2014/5/1,2014,5,3432204,781.8571429,2.96516129,0.047167742,77.94930876,27.6235023,23.28248848,19.01336406,202.2320841,0.407411453,204699.6774,2.632258065,3.187096774,0.04016129,0.05183871,0.139340387,204686.5806,13.09677419,34.18571429,20.97142857
2014/6/1,2014,6,3377621,1184.142857,3.14,0.06208,72.09047619,30.2347619,24.40714286,14.95809524,99.95862028,0.209127074,198171.0667,2.56,3.526666667,0.0075,0.098466667,0.194404533,198157.7667,13.3,34.18571429,27.11428571
2014/7/1,2014,7,4239892,2378.714286,3.099354839,0.124935484,73.05990783,30.70276498,25.16912442,14.72903226,82.45227645,0.173586975,237650.3548,2.570967742,3.451612903,0.013645161,0.199129032,0.385727226,237471.2581,179.0967742,34.71428571,26.85714286
2014/8/1,2014,8,4873818,2415.571429,2.70516129,0.1358,73.17511521,30.11705069,24.65207373,15.46497696,104.7417487,0.218073531,228385.3871,2.35483871,2.938709677,0.021548387,0.211967742,0.368849419,227796.0645,589.3225806,34.71428571,26.35714286
2014/9/1,2014,9,3660946,1305.285714,2.668,0.070953333,70.06666667,29.91,23.72047619,15.49333333,111.1784867,0.23377576,212197.7667,2.52,2.766666667,0.028233333,0.099433333,0.189623067,212086.9333,110.8333333,34.44285714,26.25714286
2014/10/1,2014,10,4006946,641.5714286,2.590967742,0.033451613,60.99078341,27.51382488,19.02672811,16.16497696,201.1905865,0.415672494,181056.8387,2.664516129,2.541935484,0.036741935,0.031258065,0.087390452,180937.8387,119,33.3,24.05714286
2014/11/1,2014,11,4138214,1250.142857,2.569333333,0.05562,69.60952381,23.55904762,17.51190476,16.80952381,347.6609688,0.715866096,184326.3,2.893333333,2.353333333,0.1011,0.0253,0.144337867,184326.3,0,30.38571429,20.14285714
2014/12/1,2014,12,4377950,4072.142857,3.085806452,0.188490323,59.02764977,16.69677419,7.850691244,17.49308756,603.7489321,1.236733965,218811.4194,3.974193548,2.493548387,0.363322581,0.071935484,0.585313032,218805.6129,5.806451613,20.67142857,12.64285714
